model,case_id,slice_idx,dice_liver,dice_tumor,dice_avg,hd_full_liver,hd_full_tumor,hd95_liver,hd95_tumor,hd95_avg
Dataset001_LiTS,volume-0,58,0.9723,0.711,0.8416,22.1022,102.0447,5.0,5.0,5.0
Dataset001_LiTS,volume-103,529,0.968,0.8589,0.9135,12.9743,8.9196,2.7052,3.2813,2.9933
Dataset001_LiTS,volume-11,416,0.9593,0.7588,0.8591,32.3391,70.0505,4.842,2.8395,3.8408
Dataset001_LiTS,volume-114,423,0.9781,1.0,0.9891,15.429,,2.2118,,2.2118
Dataset001_LiTS,volume-116,583,0.9041,0.0,0.4521,33.2354,1.8446742974197924e+19,12.2869,1.8446742974197924e+19,9.223371487098962e+18
Dataset001_LiTS,volume-117,462,0.9382,0.8551,0.8966,23.4041,20.7607,4.1617,4.6916,4.4267
Dataset001_LiTS,volume-118,251,0.9297,0.7336,0.8316,25.6294,84.7697,7.9103,13.8243,10.8673
Dataset001_LiTS,volume-119,230,0.9685,1.0,0.9843,407.9023,,4.9199,,4.9199
Dataset001_LiTS,volume-120,263,0.9756,0.7565,0.866,28.0912,41.2863,3.0,3.0,3.0
Dataset001_LiTS,volume-124,235,0.9679,0.8909,0.9294,26.5163,54.7467,3.2498,4.1015,3.6757
Dataset001_LiTS,volume-126,226,0.9776,0.0,0.4888,20.4385,117.2708,2.738,114.306,58.522
Dataset001_LiTS,volume-13,363,0.9663,0.5383,0.7523,23.6388,74.6105,3.6525,64.5569,34.1047
Dataset001_LiTS,volume-130,505,0.8815,0.0357,0.4586,64.6634,94.7323,24.1707,82.4374,53.3041
Dataset001_LiTS,volume-17,404,0.9776,0.86,0.9188,21.2625,4.3149,3.1571,2.2324,2.6948
Dataset001_LiTS,volume-20,477,0.9667,0.6516,0.8091,18.9943,60.5883,4.5994,56.8244,30.7119
Dataset001_LiTS,volume-25,521,0.961,0.0,0.4805,23.2477,1.8446742974197924e+19,7.2139,1.8446742974197924e+19,9.223371487098962e+18
Dataset001_LiTS,volume-27,428,0.9557,0.7789,0.8673,21.0224,40.9525,4.4963,7.2481,5.8722
Dataset001_LiTS,volume-28,63,0.9648,0.8913,0.928,31.8904,24.6577,4.1231,4.0,4.0616
Dataset001_LiTS,volume-29,69,0.9714,0.1734,0.5724,58.3095,16.7929,3.0,13.0,8.0
Dataset001_LiTS,volume-3,361,0.9762,0.8295,0.9028,28.0886,3.4194,2.4337,1.8449,2.1393
Dataset001_LiTS,volume-35,60,0.9004,0.0216,0.461,102.2399,151.3605,28.0162,141.3135,84.6648
Dataset001_LiTS,volume-4,463,0.8375,0.4848,0.6611,121.6618,60.2133,21.955,31.0912,26.5231
Dataset001_LiTS,volume-43,59,0.953,0.0,0.4765,66.2193,1.8446742974197924e+19,7.3485,1.8446742974197924e+19,9.223371487098962e+18
Dataset001_LiTS,volume-53,64,0.9304,0.4333,0.6818,36.8975,17.5558,12.9833,11.7161,12.3497
Dataset001_LiTS,volume-54,77,0.9741,0.0,0.487,30.0084,1.8446742974197924e+19,3.7035,1.8446742974197924e+19,9.223371487098962e+18
Dataset001_LiTS,volume-57,326,0.9625,0.8652,0.9138,16.2489,2.8684,3.5605,1.5722,2.5664
Dataset001_LiTS,volume-6,353,0.9758,0.8691,0.9225,34.5598,7.2145,2.655,2.1934,2.4242
Dataset001_LiTS,volume-62,114,0.9781,0.6583,0.8182,26.7602,7.1632,2.1979,3.2629,2.7304
Dataset001_LiTS,volume-64,189,0.9677,0.8994,0.9335,28.1643,15.2252,5.2996,7.5196,6.4096
Dataset001_LiTS,volume-69,202,0.9687,0.8741,0.9214,21.6548,3.1119,3.1119,2.0,2.5559
Dataset001_LiTS,volume-70,286,0.9538,0.8962,0.925,22.7424,85.4673,4.3714,2.6977,3.5345
Dataset001_LiTS,volume-71,75,0.9454,0.6172,0.7813,32.6201,82.8655,5.7494,23.9658,14.8576
Dataset001_LiTS,volume-75,70,0.9674,0.8389,0.9031,32.6962,6.2491,5.0,2.1434,3.5717
Dataset001_LiTS,volume-77,77,0.9562,0.1369,0.5466,17.5486,41.451,5.0,16.1853,10.5926
Dataset001_LiTS,volume-83,572,0.9696,0.0,0.4848,24.9304,135.9916,3.1691,135.4916,69.3303
Dataset001_LiTS,volume-86,496,0.9744,0.4921,0.7332,15.9456,11.5492,2.9835,9.1256,6.0546
